"kf_id","kf_genre","kf_start_of_week","kf_keyword","kf_sentiment","kf_frequency","kf_post_continent","kf_genre_code","kf_post_continent_code"
"641826","variety","2025-08-18","sophia","1","0","Middle East","3","6"
"641827","variety","2025-08-18","sophia","1","0","South America","3","4"
"641828","variety","2025-08-18","sophia","1","0","Southeast Asia","3","2"
"641829","variety","2025-08-18","stray kids","-1","0","East Asia","3","1"
"641830","variety","2025-08-18","stray kids","-1","0","Europe","3","5"
"641831","variety","2025-08-18","stray kids","-1","0","Middle East","3","6"
"641832","variety","2025-08-18","stray kids","-1","0","North America","3","3"
"641833","variety","2025-08-18","stray kids","-1","0","South America","3","4"
"641834","variety","2025-08-18","stray kids","-1","0","Southeast Asia","3","2"
"641835","variety","2025-08-18","stray kids","0","0","East Asia","3","1"
"641836","variety","2025-08-18","stray kids","0","0","Europe","3","5"
"641837","variety","2025-08-18","stray kids","0","0","Middle East","3","6"
"641838","variety","2025-08-18","stray kids","0","0","North America","3","3"
"641839","variety","2025-08-18","stray kids","0","0","South America","3","4"
"641840","variety","2025-08-18","stray kids","0","0","Southeast Asia","3","2"
"641841","variety","2025-08-18","stray kids","1","0","East Asia","3","1"
"641842","variety","2025-08-18","stray kids","1","0","Europe","3","5"
"641843","variety","2025-08-18","stray kids","1","0","Middle East","3","6"
"641844","variety","2025-08-18","stray kids","1","0","South America","3","4"
"641845","variety","2025-08-18","stray kids","1","0","Southeast Asia","3","2"
"641846","variety","2025-08-18","super junior","-1","0","East Asia","3","1"
"641847","variety","2025-08-18","super junior","-1","0","Europe","3","5"
"641848","variety","2025-08-18","super junior","-1","0","Middle East","3","6"
"641849","variety","2025-08-18","super junior","-1","0","North America","3","3"
"641850","variety","2025-08-18","super junior","-1","0","South America","3","4"
"641851","variety","2025-08-18","super junior","-1","0","Southeast Asia","3","2"
"641852","variety","2025-08-18","super junior","0","0","East Asia","3","1"
"641853","variety","2025-08-18","super junior","0","0","Europe","3","5"
"641854","variety","2025-08-18","super junior","0","0","Middle East","3","6"
